,,,,,,,Games,,Passing,,,,,,,,,,,,,,,,,,,,
Rk,Player,From,To,Draft,Tm,Lg,G,GS,Cmp,Att,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Y/A,AY/A,ANY/A,Y/G,W,L,T,4QC,GWD
38,Kenny Stills,2013,2019,5-144,TOT,NFL,98,72,1,1,100,3,1,0,,100,0,118.7,0,0,3,23,23,0,,,,,
39,Golden Tate,2010,2018,Feb-60,TOT,NFL,137,101,1,1,100,23,1,0,,100,0,158.3,0,0,23,43,43,0.2,0,0,0,,
40,Albert Wilson,2014,2019,,TOT,NFL,63,29,1,1,100,52,1,0,,100,0,158.3,0,0,52,72,72,0.8,,,,,
41,Jared Abbrederis,2014,2017,5-176,TOT,NFL,21,0,0,0,,0,0,0,,,,,0,0,,,,0,,,,0,0
42,Charlie Adams,2003,2005,,DEN,NFL,24,2,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
43,Darvin Adams,2011,2011,,CAR,NFL,2,0,0,0,,0,0,0,,,,,0,0,,,,0,,,,,
44,Davante Adams,2014,2019,Feb-53,GNB,NFL,78,71,0,0,,0,0,0,,,,,0,0,,,,0,,,,,
45,Joe Adams,2012,2012,4-104,CAR,NFL,9,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,,,
46,Kris Adams,2012,2012,,CLT,NFL,3,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,,,
47,Mike Adams,1997,1997,7-223,PIT,NFL,6,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
48,Rodney Adams,2017,2017,5-170,MIN,NFL,1,0,0,0,,0,0,0,,,,,0,0,,,,0,,,,0,0
49,Quincy Adeboyejo,2017,2017,,RAV,NFL,1,0,0,0,,0,0,0,,,,,0,0,,,,0,,,,,
50,Erik Affholter,1991,1991,4-110,GNB,NFL,4,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
51,Nelson Agholor,2015,2019,20-Jan,PHI,NFL,64,56,1,1,100,15,0,0,,0,0,118.7,0,0,15,15,15,0.2,,,,,
52,Kamar Aiken,2011,2018,,TOT,NFL,71,28,0,0,,0,0,0,,,,,0,0,,,,0,0,0,,,
53,Sam Aiken,2003,2010,4-127,TOT,NFL,95,11,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
54,Seyi Ajirotutu,2010,2015,,TOT,NFL,70,2,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
55,Danario Alexander,2010,2012,,TOT,NFL,28,13,0,1,0,0,0,0,,0,0,39.6,0,0,0,0,0,0,0,0,0,,
56,Derrick Alexander,1994,2002,29-Jan,TOT,NFL,126,102,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
57,Kevin Alexander,1996,1997,,NYG,NFL,18,8,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
58,Mike Alexander,1989,1991,8-199,TOT,NFL,19,1,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
59,Ray Alexander,1989,1989,,DAL,NFL,2,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
60,Brian Alford,1998,1999,Mar-70,NYG,NFL,4,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
61,Mario Alford,2015,2016,7-238,TOT,NFL,4,0,0,0,,0,0,0,,,,,0,0,,,,0,,,,,
62,Anthony Allen,1989,1989,6-156,SDG,NFL,7,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
63,Jake Allen,2009,2009,,2TM,NFL,3,0,0,0,,0,0,0,,,,,0,0,,,,0,0,0,0,,
