Rk,Player,From,To,No of Season,Tm,Lg,G,GS,Tgt,Rec,Yds,Y/R,TD,Y/G,Ctch%,Y/Tgt
50,Brandon Pettigrew,2009,2015,7,DET,NFL,93,85,486,301,2965,9.85,17,31.9,61.90%,6.1
51,Eric Ebron,2014,2019,6,TOT,NFL,76,45,414,260,2948,11.34,26,38.8,62.80%,7.12
52,Pete Mitchell,1995,2002,8,TOT,NFL,114,63,420,279,2885,10.34,15,25.3,66.40%,6.87
53,Dustin Keller,2008,2012,5,NYJ,NFL,72,48,411,241,2876,11.93,17,39.9,58.60%,7
54,Jermichael Finley,2008,2013,6,GNB,NFL,70,48,323,223,2785,12.49,20,39.8,69.00%,8.62
55,Steve Jordan,1989,1994,6,MIN,NFL,80,72,121,224,2739,12.23,11,34.2,,
56,Visanthe Shiancoe,2003,2013,11,TOT,NFL,149,90,394,245,2679,10.93,27,18,62.20%,6.8
57,Troy Drayton,1993,2000,8,TOT,NFL,122,91,351,243,2645,10.88,24,21.7,69.20%,7.54
58,Jacob Tamme,2008,2016,9,TOT,NFL,130,36,389,259,2570,9.92,14,19.8,66.60%,6.61
59,L.J. Smith,2003,2009,7,TOT,NFL,98,65,392,233,2556,10.97,18,26.1,59.40%,6.52
60,Lance Kendricks,2011,2019,9,TOT,NFL,127,92,394,244,2555,10.47,19,20.1,61.90%,6.48
61,Christian Fauria,1995,2007,13,TOT,NFL,191,122,385,252,2529,10.04,22,13.2,65.50%,6.57
62,Jay Riemersma,1997,2004,8,TOT,NFL,112,73,352,221,2524,11.42,23,22.5,62.80%,7.17
63,Stephen Alexander,1998,2006,9,TOT,NFL,118,99,429,247,2519,10.2,14,21.3,57.60%,5.87
64,Daniel Graham,2002,2012,11,TOT,NFL,148,117,361,224,2490,11.12,25,16.8,62.00%,6.9
65,Rodney Holman,1989,1995,7,TOT,NFL,111,84,102,194,2485,12.81,20,22.4,,
66,Andrew Glover,1991,2000,10,TOT,NFL,154,82,339,208,2478,11.91,24,16.1,,
67,Julius Thomas,2011,2017,7,TOT,NFL,71,55,352,226,2406,10.65,36,33.9,64.20%,6.84
68,Bo Scaife,2005,2010,6,OTI,NFL,90,62,396,251,2383,9.49,12,26.5,63.40%,6.02
69,Scott Chandler,2007,2015,9,TOT,NFL,90,39,316,205,2379,11.6,21,26.4,64.90%,7.53
70,Chad Lewis,1997,2005,9,TOT,NFL,116,77,378,229,2361,10.31,23,20.4,60.60%,6.25
71,Bubba Franks,2000,2008,9,TOT,NFL,122,98,405,262,2347,8.96,32,19.2,64.70%,5.8
72,Gary Barnidge,2008,2016,9,TOT,NFL,124,54,287,178,2258,12.69,14,18.2,62.00%,7.87
73,John Carlson,2008,2014,7,TOT,NFL,90,64,338,210,2256,10.74,15,25.1,62.10%,6.67
74,Mark Chmura,1993,1999,7,GNB,NFL,89,62,287,188,2253,11.98,17,25.3,65.50%,7.85
75,Billy Miller,1999,2008,10,TOT,NFL,114,36,315,200,2248,11.24,10,19.7,63.50%,7.14
76,Jerramy Stevens,2002,2010,9,TOT,NFL,121,41,341,202,2217,10.98,22,18.3,59.20%,6.5
77,Howard Cross,1989,2001,13,NYG,NFL,207,171,294,201,2194,10.92,17,10.6,,
78,Marv Cook,1989,1995,7,TOT,NFL,112,76,187,257,2190,8.52,13,19.6,,
79,Ernie Conwell,1996,2006,11,TOT,NFL,125,91,330,203,2188,10.78,15,17.5,61.50%,6.63
80,Eric Johnson,2001,2007,7,TOT,NFL,71,59,358,240,2178,9.08,9,30.7,67.00%,6.08
81,David Sloan,1995,2003,9,TOT,NFL,110,80,333,192,2151,11.2,15,19.6,57.70%,6.46
82,Ernest Wilford,2004,2010,7,TOT,NFL,87,44,286,156,2145,13.75,15,24.7,54.50%,7.5
83,Jermaine Wiggins,2000,2006,7,TOT,NFL,107,44,335,236,2141,9.07,14,20,70.40%,6.39
84,Ethan Horton,1989,1994,6,TOT,NFL,96,78,173,181,2131,11.77,15,22.2,,
85,Ed Dickson,2010,2018,9,TOT,NFL,134,86,311,190,2128,11.2,15,15.9,61.10%,6.84
86,Johnny Mitchell,1992,1996,5,TOT,NFL,57,43,295,159,2103,13.23,16,36.9,53.90%,7.13
87,Dennis Pitta,2010,2016,7,RAV,NFL,66,23,330,224,2098,9.37,13,31.8,67.90%,6.36
88,Pete Metzelaars,1989,1997,9,TOT,NFL,141,92,287,234,2089,8.93,23,14.8,,
89,George Kittle,2017,2019,3,SFO,NFL,34,26,220,148,2057,13.9,7,60.5,67.30%,9.35
90,Byron Chamberlain,1995,2003,9,TOT,NFL,106,25,250,167,2048,12.26,6,19.3,66.80%,8.19
91,Jordan Cameron,2011,2016,6,TOT,NFL,66,50,300,173,2046,11.83,14,31,57.70%,6.82
92,Fred Davis,2008,2013,6,WAS,NFL,72,43,253,162,2043,12.61,13,28.4,64.00%,8.08
93,Kevin Boss,2007,2012,6,TOT,NFL,74,58,251,150,2033,13.55,22,27.5,59.80%,8.1
94,Dave Moore,1992,2006,15,TOT,NFL,220,107,336,207,2028,9.8,28,9.2,61.60%,6.04
95,Donald Lee,2003,2011,9,TOT,NFL,133,68,299,209,1990,9.52,19,15,69.90%,6.66
96,Aaron Hernandez,2010,2012,3,NWE,NFL,38,29,260,175,1956,11.18,18,51.5,67.30%,7.52
97,Brandon Myers,2009,2016,8,TOT,NFL,115,63,293,199,1954,9.82,9,17,67.90%,6.67
98,Mikhael Ricks,1998,2003,6,TOT,NFL,82,43,327,155,1939,12.51,8,23.6,47.40%,5.93
99,Cameron Brate,2014,2019,6,TAM,NFL,70,24,247,168,1906,11.35,24,27.2,68.00%,7.72
100,Ron Hall,1989,1995,7,TOT,NFL,94,89,145,175,1885,10.77,9,20.1,,
101,Jack Doyle,2013,2019,7,CLT,NFL,88,46,276,211,1837,8.71,15,20.9,76.40%,6.66
102,Tyler Eifert,2013,2019,7,CIN,NFL,47,32,224,153,1797,11.75,22,38.2,68.30%,8.02
103,Irv Smith,1993,1999,7,TOT,NFL,95,76,282,183,1788,9.77,15,18.8,64.90%,6.34
104,Ed West,1989,1997,9,TOT,NFL,135,92,165,159,1780,11.19,17,13.2,,
105,Derrick Walker,1990,1999,10,TOT,NFL,129,86,223,180,1770,9.83,9,13.7,,
106,Joel Dreessen,2005,2013,9,TOT,NFL,120,49,233,158,1767,11.18,19,14.7,67.80%,7.58
107,Reggie Kelly,1999,2011,13,TOT,NFL,184,149,289,195,1767,9.06,5,9.6,67.50%,6.11
108,Austin Hooper,2016,2019,4,ATL,NFL,50,21,213,167,1764,10.56,12,35.3,78.40%,8.28
109,Chris Baker,2002,2010,9,TOT,NFL,131,71,249,168,1763,10.49,15,13.5,67.50%,7.08
110,Vance McDonald,2013,2019,7,TOT,NFL,76,54,227,138,1752,12.7,14,23.1,60.80%,7.72
111,Erron Kinney,2000,2005,6,OTI,NFL,83,67,256,178,1750,9.83,10,21.1,69.50%,6.84
112,Itula Mili,1998,2006,9,SEA,NFL,114,42,253,164,1743,10.63,13,15.3,64.80%,6.89
113,Dwayne Carswell,1994,2005,12,DEN,NFL,163,82,303,192,1707,8.89,15,10.5,63.40%,5.63
114,Steve Heiden,1999,2009,11,TOT,NFL,148,83,303,201,1689,8.4,14,11.4,66.30%,5.57
115,Jim Kleinsasser,1999,2011,13,MIN,NFL,181,130,276,192,1688,8.79,6,9.3,69.60%,6.12
116,Mark Bavaro,1989,1994,6,TOT,NFL,66,65,140,140,1682,12.01,19,25.5,,
117,Brian Kinchen,1989,2003,15,TOT,NFL,177,66,238,159,1645,10.35,7,9.3,,
118,Zach Miller,2009,2017,9,TOT,NFL,66,33,205,146,1631,11.17,15,24.7,71.20%,7.96
119,Evan Engram,2017,2019,3,NYG,NFL,30,22,216,136,1630,11.99,11,54.3,63.00%,7.55
120,Lonnie Johnson,1994,1999,6,TOT,NFL,88,66,269,163,1587,9.74,6,18,60.60%,5.9
121,Dwayne Allen,2012,2018,7,TOT,NFL,86,72,225,139,1564,11.25,20,18.2,61.80%,6.95
122,David Martin,2001,2011,11,TOT,NFL,120,52,239,159,1562,9.82,15,13,66.50%,6.54
123,Ryan Wetnight,1993,2000,8,TOT,NFL,101,19,278,175,1542,8.81,9,15.3,62.90%,5.55
124,Anthony Becht,2000,2011,12,TOT,NFL,167,132,298,188,1537,8.18,21,9.2,63.10%,5.16
125,Ryan Griffin,2013,2019,7,TOT,NFL,80,39,227,140,1506,10.76,7,18.8,61.70%,6.63
126,Cam Cleeland,1998,2005,8,TOT,NFL,89,54,212,131,1478,11.28,13,16.6,61.80%,6.97
127,Alex Smith,2005,2015,11,TOT,NFL,124,57,265,163,1473,9.04,13,11.9,61.50%,5.56
128,Kerry Cash,1991,1996,6,TOT,NFL,71,60,228,132,1427,10.81,9,20.1,,
129,Kris Mangum,1997,2006,10,CAR,NFL,126,61,252,151,1424,9.43,9,11.3,59.90%,5.65
130,Jamie Asher,1995,1998,4,WAS,NFL,48,34,243,133,1421,10.68,5,29.6,54.70%,5.85
131,Mychal Rivera,2013,2016,4,RAI,NFL,61,15,230,146,1413,9.68,10,23.2,63.50%,6.14
132,Ladarius Green,2012,2016,5,TOT,NFL,53,28,156,95,1391,14.64,8,26.2,60.90%,8.92
133,Eric Bjornson,1995,2000,6,TOT,NFL,82,41,218,147,1384,9.41,6,16.9,67.40%,6.35
134,Keith McKeller,1989,1993,5,BUF,NFL,67,44,20,115,1384,12.03,11,20.7,,
135,Mark Campbell,1999,2008,10,TOT,NFL,111,77,231,146,1356,9.29,12,12.2,63.20%,5.87
136,Daniel Fells,2008,2015,8,TOT,NFL,89,40,179,114,1334,11.7,12,15,63.70%,7.45
137,Mark Bruener,1995,2008,14,TOT,NFL,188,139,271,152,1333,8.77,18,7.1,56.10%,4.92
138,Jeff King,2006,2012,7,TOT,NFL,108,84,246,156,1323,8.48,12,12.3,63.40%,5.38
139,Ferrell Edmunds,1989,1994,6,TOT,NFL,73,66,75,115,1319,11.47,9,18.1,,
140,Doug Jolley,2002,2006,5,TOT,NFL,74,32,191,120,1303,10.86,6,17.6,62.80%,6.82
141,Robert Royal,2003,2010,8,TOT,NFL,110,81,233,128,1271,9.93,14,11.6,54.90%,5.45
142,Matt Schobel,2002,2008,7,TOT,NFL,99,24,168,117,1270,10.85,12,12.8,69.60%,7.56
143,Pete Holohan,1989,1992,4,TOT,NFL,57,20,25,133,1268,9.53,6,22.2,,
144,Luke Willson,2013,2019,7,TOT,NFL,88,46,159,105,1252,11.92,11,14.2,66.00%,7.87
145,Jeb Putzier,2002,2008,7,TOT,NFL,69,17,154,96,1251,13.03,3,18.1,62.30%,8.12
146,Trey Burton,2014,2019,6,TOT,NFL,80,24,182,125,1239,9.91,12,15.5,68.70%,6.81
147,Jesse James,2015,2019,5,TOT,NFL,60,38,180,125,1235,9.88,9,20.6,69.40%,6.86
148,Dante Rosario,2007,2014,8,TOT,NFL,122,33,199,116,1235,10.65,8,10.1,58.30%,6.21
149,Legedu Naanee,2007,2012,6,TOT,NFL,73,21,180,108,1232,11.41,4,16.9,60.00%,6.84
